name,averageRevenue,medianRevenue,totalRevenue,publishedGames
PUMPKIM,191294.2,18431,956471,5
Space Boat Studios,454117.5,454117.5,908235,2
Ellada Games,904241,904241,904241,1
Shockfront Studios,910997,910997,910997,1
ForwardXP,878007,878007,1756014,2
Darkmatter Games,949047,949047,949047,1
Game in a Bottle,894425,894425,894425,1
Popcannibal,205468.4,41336,1027342,5
Neognosis,894888,894888,894888,1
Alioth Studio,903112,903112,903112,1
Madison Karrh,300766.3333333333,6430,902299,3
Wings,137750.9,14850.5,1377509,10
Crazy Viking Studios,893903,893903,893903,1
Naelstrof,341244.3333333333,137357,1023733,3
HUBLOTS,305038.25,134092.5,1220153,4
TAITO CORP.,286311.125,115948.5,2290489,8
"Basically Games, LLC",436588.5,436588.5,873177,2
Step 1 Games LLC,887375,887375,887375,1
Event Horizon,618200.5,618200.5,1236401,2
2Play,629312.5,629312.5,1258625,2
Night Signal Entertainment,453389,453389,906778,2
"YGGDRAZIL GROUP CO.,LTD",883375,883375,883375,1
MetalStar Studio,1095957,1095957,1095957,1
Scavengers Studio,464637.5889761696,464637.5889761696,929275.1779523392,2
TapBlaze,917929,917929,917929,1
Grid Sage Games,861242,861242,861242,1
SquarePlay Games,875852,875852,875852,1
Cats Who Play,249395.75,61020,997583,4
Unfold Games,872343,872343,872343,1
Sunpeak Games,871896,871896,871896,1
"nWay, INC",864551,864551,864551,1
DriftyGames,868975,868975,868975,1
Madnetic Games,218207.25,319,872829,4
WildTangent,308109,134301,1232436,4
Cat Shine,834642,834642,834642,1
Tensori,863458,863458,863458,1
Team HalfBeard,858538,858538,858538,1
Vanimals,510198.5,510198.5,1020397,2
Applava,857980,857980,857980,1
Radiangames,432057,432057,864114,2
2 Zombie Games,857664,857664,857664,1
Cornfox & Brothers Ltd.,856931,856931,856931,1
Phosphor Games,330724.6666666667,94880,992174,3
Level Up Labs,854048,854048,854048,1
Lost Pilgrims Studios,429798.5,429798.5,859597,2
蠑螈,872617,872617,872617,1
Oro Interactive,878880,878880,878880,1
IO Interactive A/S,14092463.969498275,850675,42277391.90849482,3
Viking Game Studio,861347,861347,861347,1
Red Axe Games,3959872,3959872,7919744,2
Spacelight Studio,847349,847349,847349,1
XGen Studios,397073.25,368630,1588293,4
110 Industries SA,424748,424748,849496,2
Traega Entertainment,428590.5,428590.5,857181,2
Twisted Barrel Games,854227,854227,854227,1
North Modding Company AB,854792,854792,854792,1
Battlecruiser Games,441749.5,441749.5,883499,2
Electric Hat Games LLC.,839196,839196,839196,1
Scraping Bottom Games,838982,838982,838982,1
Dark Point Games,852743,852743,852743,1
Galaktus,342822.3333333333,152887,1028467,3
Gameforge 4D GmbH,3890315.847287549,449908,15561263.389150197,4
Bad Habit Productions,839007,839007,839007,1
increpare games,213718.25,9840,854873,4
Pixmain,458563.5,455024,1834254,4
Original Fire Games,470381.5,470381.5,940763,2
"Revival Productions, LLC",415099,415099,830198,2
A.Y.std,828222,828222,828222,1
Glumberland,837516,837516,837516,1
Witch Beam,827567,827567,827567,1
Kazakov Oleg,142200.7142857143,23042,995405,7
Storytaco,207824.26689040635,584.0164265324574,1039121.3344520318,5
Infectious Ape,818013,818013,818013,1
Crema,819604,819604,819604,1
HimitsuCP,751464.5,751464.5,1502929,2
Alice & Smith,311363,214772.5,1245452,4
重楼工作室,478408,478408,956816,2
Betagames Group,811256,811256,811256,1
Noodlecake,130511,23670.5,1044088,8
ULTRA ULTRA,815850,815850,815850,1
Happinet,816221,816221,816221,1
"HeR Interactive, Inc.",811844,811844,811844,1
Grynsoft,428718.5,428718.5,857437,2
DRAGO entertainment,4114436.75,483638.5,16457747,4
Kyle Seeley,515751.3333333333,738751,1547254,3
Moonfire Entertainment,803496,803496,803496,1
Vertical Robot,635862.5,635862.5,1271725,2
Andrew Morrish,466456,466456,932912,2
Piko Interactive LLC,6300.333333333333,719,302416,48
Bleem!,7852.804878048781,886,321965,41
Big Fish Games,2486.4151351191435,930,1215857.0010732613,489
Andy Jurko,754.8823529411765,398,12833,17
Hot Chill,1285,420,11565,9
ANPA.US,10290,1310,360150,35
Galactic Geckon,658,704,13818,21
Tero Lunkka,690.1530612244898,340.5,67635,98
HexGameStudio,26339.5,5113.5,105358,4
EnsenaSoft,1098.025641025641,631,42823,39
Ghost_RUS Games,1323.6333333333334,640,79418,60
Starmops,2181.4,1965,10907,5
Cyber Keks,1366.6351351351352,318.5,101131,74
Erbe Software,595.9642857142857,97,16687,28
Boogygames Studios,223.41221374045801,40,29267,131
HH-Games,1307.5647668393783,550,252360,193
8floor,585.0186567164179,256,156785,268
Hunny Bunny Studio,1316.875,890.5,52675,40
EroticGamesClub,189.13812154696132,72,34234,181
W.T.B.,1003.08,766,25077,25
PanGuoJun,2957.4444444444443,1221,26617,9
Enaayah Software Development and Services Private Limited,789.2105263157895,492,14995,19
Ominous Entertainment,2954,2029,26586,9
Flying Panjandrum / ふらいんぐパンジャンドラム,1711,539,11977,7
Artalasky,3106.75,2882,12427,4
Siberian Mouse,2137.4166666666665,1623.5,25649,12
Red Meat Games,7287,243,43722,6
MCGame,2989.1666666666665,780,35870,12
RandomSpin,2807.25,752.5,22458,8
Arcupion Art,7809,581,31236,4
Ratalaika Games S.L.,3454.830188679245,351,183106,53
KPL,8072.142857142857,3984,169515,21
EntwicklerX,1385.090909090909,350,15236,11
Seito Games,1560.8235294117646,924,26534,17
Mindscape,19121,2440.5,229452,12
Frozen Dreams,6056.75,3518,24227,4
Sempiternal Rain,4046.3333333333335,455,12139,3
SoraPrayer,19597.5,19597.5,39195,2
Jogo Joia,37884.333333333336,349,113653,3
Archor Games,145.53424657534248,26,10624,73
Rand.Exe Studios,2967,1145,11868,4
Pixel Games UK,741.6339285714286,67.5,83063,112
VDO Games,25543,10809,102172,4
The Hideout,10369.5,10369.5,20739,2
Blender Games,1024.4324324324325,228,75808,74
Magic Item Tech,8021,8021,16042,2
Studio HK,8008.5,4804,32034,4
Aleksey Izimov,1367.5,1064.5,10940,8
Fewjix,3156.375,531.5,25251,8
AFBIK Studio,5552.083333333333,2002.5,133250,24
Drageus Games S.A.,6373.25,2171.5,50986,8
Shorebound Studios,46432.5,39988,278595,6
A Game From Low Polystan,4469,344,13407,3
Laush Studio,1474.6140350877192,699,252159,171
N/A,4557.148148148148,80,123043,27
Crashable Studios,10854,10854,21708,2
HorseGames,13867.4,9369,69337,5
Casual Arts,409.5897435897436,226,15974,39
Light Arc Studio Ltd,9922,12916,29766,3
Hosted Games,9829.091743119267,3096,1071371,109
YOX-Project,6832,2950,27328,4
Peaksel,1319.0020509675298,509.5,21104.032815480477,16
Erow.Dev,7300.5,7300.5,14601,2
Ripknot Systems,1793.8709677419354,1801,111220,62
Battenberg Software,2382.8,341,11914,5
Nemesys Games,45329.75,58709,181319,4
Kucki,7955.666666666667,776,23867,3
冷笑黑妖,2492.9666666666667,500,74789,30
MCG,2872.818181818182,1120,31601,11
Eastasiasoft Limited,3656.212121212121,339,120655,33
Little Black Book Entertainment,1328.047619047619,800,27889,21
Sinned Games,2986.285714285714,211.5,41808,14
Stegalosaurus Game Development,334.4222222222222,8,15049,45
Alawar Casual,5763.451612903225,3321,714668,124
Pujia8 Studio,13429.15,1791,268583,20
"CyberStep, Inc.",172426.99016179523,143,9483484.458898738,55
MB Game Studio,4197,177,163683,39
Boom Team,1217.8666666666666,328,36536,30
Andrealphus Games,394252,51175.5,1577008,4
MoonlightGames,1274.1333333333334,377,19112,15
Boomzap Inc,1152.8775510204082,328,56491,49
Challenging Games,1835.5,756,11013,6
Self,4285.545454545455,77,47141,11
Cute Pen Games,617.5526315789474,408,23467,38
Nifty Productions,32257.440021810336,682.8739039443158,193544.640130862,6
DL Softworks,15907.666666666666,336,47723,3
baKno Games,2924.5454545454545,673.5,64340,22
Kiddy,15378.478260869566,2488,353705,23
Piko Interactive,9167.5,912.5,36670,4
Jupiter Corporation,41108,41108,82216,2
PsychoFlux Entertainment,3998.3278688524592,654,243898,61
BarCoffee Studio,7335.333333333333,3202,22006,3
NedoStudio,978.2307692307693,831,12717,13
Daisy Games,2594.4,1625,25944,10
Studio Six,1936.1818181818182,333,21298,11
Yume Creations,15301.625,1902.5,122413,8
NipoBox Publishing,9050,354,63350,7
FastGame,11590.5,6217,69543,6
Fantastico Studio,6318,1946,56862,9
DreamsSoftGames,2840,308,17040,6
Gamesforfarm,1299.6153846153845,330,16895,13
DIG Publishing,442.61538461538464,324.5,23016,52
UP DEVELOPMENT LTD.,2891.75,542,11567,4
DigiMight,576.24,133,14406,25
Renegade Sector Games,3687.5333333333333,1831,55313,15
Red twice potato,1141.3,106.5,22826,20
GFI,5059.083333333333,173.5,60709,12
FobTi interactive,5923.2,4245.5,59232,10
Vidas Salavejus,2875.4444444444443,468,77637,27
Volens Nolens Games,6444.322033898305,2392,380215,59
WGI GAMING,12045.6,379,60228,5
Tuomo's games,2768.222222222222,1739,24914,9
Oleg Sereda,2485.721582140783,1494,19885.772657126265,8
takayakata,13384.5,13384.5,26769,2
MIYAKOpubl,3058.75,1744.5,12235,4
Cosmic Train,4063.75,3370,16255,4
Anime Mania,1650.2727272727273,732,18153,11
PaulArt,2259.24,421,56481,25
Fireapples,13226.5,7384,52906,4
Lsgamedev,4181.666666666667,1485,12545,3
Neki4 Electronics,1516.64,430,37916,25
Phoenixxx Games,1468.5625,353,46994,32
Piece Of Voxel,2658.375,2260,297738,112
Looksten Inc.,4960,1016,19840,4
Gotcha Gotcha Games,5397.411764705882,621.5,183512,34
Cosmi Valusoft,22646.875,9680.5,543525,24
DillyFrame,661.1363636363636,275,14545,22
Crystal Shard,2287.6666666666665,1828,13726,6
magnussoft,394.13461538461536,134,20495,52
SVGames,6134.733333333334,1711,92021,15
LucasGame,5335.5,5335.5,10671,2
Lamina Studios,70043.375,201.5,560347,8
Interplay,14019.588235294117,6012,238333,17
Mommy's Best Games,6906.5,5369.5,41439,6
哈视奇科技,23832.14285714286,760,166825,7
Three Brothers Games,18958,18958,37916,2
EpiXR Games UG,4269.356164383562,2855,311663,73
Nova-box,40109.2,24464,200546,5
Sacada,9581.758540609599,1371.5,210798.68789341117,22
Tensei Games,1108.8636363636363,518.5,24395,22
Thalamus Digital,5510,2496,66120,12
QubicGames,1619.5555555555557,606,43728,27
k148 Game Studio,7081.333333333333,8992,21244,3
BigGame Publishing,23790.666666666668,466,71372,3
Sebastian Schöner,5118.5,5118.5,10237,2
Woodsy Studio,9266.57142857143,3553,64866,7
Zerouno Games,1427.5,205.5,17130,12
indie_games_studio,14253.954545454546,3190.5,313587,22
LTZinc,1232.4117647058824,654,62853,51
BisquitPlay,6642.333333333333,2232,19927,3
Hunted Cow Games,120174.15116001178,2611,5287662.651040519,44
Crush-vAdin,3945.2,558,19726,5
M.INDIE,2571.4,1767.5,51428,20
Mikołaj Spychał,3606.866666666667,2146,54103,15
HandMade Games,1381.6833333333334,223,82901,60
Sprovieri Games,961.1666666666666,818.5,11534,12
Quarlellle,608.5555555555555,264,16431,27
Yash Future Tech Solutions Pvt Ltd,669.8333333333334,224,16076,24
ZELENIUK,3096.1428571428573,409,21673,7
William at Oxford,1917.7636363636364,232,105477,55
iGindisGames,3078.375,183,24627,8
Calepin Studio,5621,5621,11242,2
MightyCodeDragon,3825.3333333333335,311,11476,3
Diggidy.net,15247.166666666666,829.5,91483,6
Punx Studios,7770,3531,38850,5
RMking,2723.8333333333335,2277.5,16343,6
Valera Entertainment,14070.75,2171,56283,4
Emilios Manolidis,38614,19766.5,154456,4
Warfare Studios,2476.4545454545455,1781,54482,22
SAT-BOX,3045.8863636363635,336,134019,44
Anatoliy Loginovskikh,4792.969696969697,3950,158168,33
Kether Studio,5330,3020,21320,4
JingtuStudio,12882.111111111111,306,115939,9
Gamesforgames,2851.6478873239435,1350,202467,71
Mihai Morosanu,2463.4166666666665,1607.5,29561,12
Inspector Studios,512.2307692307693,97,19977,39
Elementarium games,3145.5,1723.5,12582,4
Indovers Studio,46345.77777777778,4477,417112,9
Wamill,8036.5,8036.5,16073,2
GoGo Games Interactive,2404.3333333333335,937,21639,9
SC Jogos,31367.764705882353,13648,533252,17
Afil Games,1542.8461538461538,298,20057,13
神族宝,26890.333333333332,299,80671,3
RhinoGearz,9953.142857142857,2780,69672,7
Khud0,948.75,557,11385,12
MixedBag Srl,9865,9865,19730,2
Wastelands Interactive,7491,2670.5,29964,4
Ertal Games,15109.714285714286,6028,105768,7
Dragon Slumber,3419.3333333333335,1085,10258,3
Do Games Limited,1120.2884615384614,520,58255,52
Sub Orbital Software,906.9230769230769,7,11790,13
Back To Basics Gaming,8663.425925925925,3785.5,467825,54
SimpleDes,1647.7142857142858,918,11534,7
MACKINN7,837.92,452,20948,25
BokiBoki Games,12781.157894736842,3837,242842,19
Snkl Studio,1632.695652173913,1025,75104,46
Game for people,3829.0588235294117,1492,65094,17
Gammera Nest,2406.5,724,48130,20
SEKTOR GAMES,2012.6666666666667,1702,12076,6
Hound Picked Games,27498.636363636364,6739,302485,11
Kurenaibook,15075,6629.5,60300,4
Sunlight Games,18323.636363636364,4145,201560,11
Minority Media,184354,184354,368708,2
azimuth team,583.3636363636364,110,12834,22
owlyboi,1554.6458333333333,666.5,74623,48
Who We Are Games,2428.8571428571427,1342,17002,7
Lu,699.5625,681,11193,16
BrickCream,19791.666666666668,291,59375,3
Lightning Rod Games,21853.5,21853.5,43707,2
Paleno Games,3557,774,24899,7
Blessing Company,1076.4342105263158,150.5,81809,76
Boom Games,1507.2857142857142,909.5,21102,14
JOZGames,1195.4,274.5,11954,10
Funbox Media Ltd,6201.873015873016,1109,390718,63
Redbrick Studios Ltd,6363.666666666667,5113,38182,6
Hentai works,819.6551724137931,508,47540,58
Mykel Flynn,2591.1666666666665,246,15547,6
Interactive Gaming Studios,6967.571428571428,5832,48773,7
Day Dreamer Games,2220.625,1208.5,17765,8
QZQ Studio,1755.076923076923,154,45632,26
Valkyria Games,682.3529411764706,283,11600,17
Sedoc LLC,15203,2638.5,182436,12
Roppy Chop Studios,3413.8571428571427,126,23897,7
LunarCore Games,1121.5,252,13458,12
Eren Aydin,11178.25,4709,44713,4
"Oh, a Rock! Studios",6785.9,1864,67859,10
Game Troopers,3780,283,11340,3
Nova's Army,15301.333333333334,7244.5,91808,6
MD Studio,13824.666666666666,18564,41474,3
Sokpop Collective,74858.98165137615,1433,8159629,109
O-TWO inc.,11677.5,1820,46710,4
LOMS Studio,7310,7310,14620,2
RR GAMES PTE LTD,19150,1823,57450,3
Bart Bonte,11196,5073.5,44784,4
Hype ProductionZ,4933,281,14799,3
Catnip studio,2255.4285714285716,993,31576,14
Bitlock Studio,978.8918918918919,661,36219,37
Minicactus Games,2665.6428571428573,1347.5,37319,14
Gray Boss,985.9090909090909,569,10845,11
Mykhail Konokh,3799.909090909091,1356,41799,11
EvilCharm Games,174771.13149000617,174771.13149000617,349542.26298001234,2
Robert Alvarez,7249.125,2181.5,57993,8
PhoenixFire Games,750.4,385,11256,15
Reset Games Ltd,3674.5,2765,14698,4
Hoki Wolf Studio,12705,12705,25410,2
Team Vivat,77578.5,77578.5,155157,2
橙光游戏,5553.673913043478,872,255469,46
Rooftop Panda,6177.666666666667,3369,18533,3
TakeThem.Games,3411.4,2855,17057,5
SilentFuture,16013,1543.5,192156,12
IKINAGAMES,2673.625,2158,21389,8
Nelset,3423,2705,10269,3
kazakovstudios,1910.4583333333333,1209.5,45851,24
Playtouch,1105.3,761,11053,10
Loneminded,14923,9633,59692,4
Simplicity Games,20258.8,575,101294,5
LGT SIA,698.3589743589744,134,27236,39
orange,3068.875,1260.5,24551,8
Louie Inc,2566.5,1668,87261,34
IceTorch Interactive,16319.2,1878,81596,5
None,1858.6688011122967,58,63194.73923781809,34
Grizzly Wolf Games LLC,5058.5,5058.5,10117,2
OxDev,5549,775,16647,3
Frosted Brain,23542,23542,47084,2
Noxurtica,1649.1739130434783,269,37931,23
AhrpuXR,3152.25,1726.5,12609,4
AAD Productions,33181.857142857145,7264,232273,7
Tin Man Games,49663.13333333333,7118,744947,15
myTrueSound,6899.666666666667,268,20699,3
Higgs Games GmbH,1478.5714285714287,682,10350,7
Flying. Stone. Production,1253.125,740,10025,8
Kerberos Productions,125278.2,11036,626391,5
HugePixel,1748.423076923077,1819.5,45459,26
mindhelix.pl,4307.333333333333,4552,12922,3
Shambles Software,53960.5,53960.5,107921,2
Slippy Floor,2254.1666666666665,1163,67625,30
Good Monkey,4192,3569,12576,3
Happy Daram Inc.,25032.5,25032.5,50065,2
Kavkaz Sila Games,8764.4,3479,175288,20
Sabrina Aridi,884.7142857142857,620,12386,14
OtakuMaker SARL,1735,559,13880,8
Game Studio Inc.,31923.5,31923.5,63847,2
Indie,783.7142857142857,51.5,10972,14
Fury Games Production,2532.4615384615386,653,32922,13
Windforce,27263.833333333332,24249.5,163583,6
Turtle game,16886,7014,50658,3
JFi Games,18261,18261,36522,2
Smartmove,2112.8,1703,10564,5
familyplay,7359.135135135135,1904,272288,37
"Sonic Powered Co.,Ltd.",25536.2,10065,127681,5
Horny69Team,2573.090909090909,2379,28304,11
khukhrovr,1164.6857142857143,1010,40764,35
Aaron Dodo,1815.4285714285713,517,12708,7
FossettGaming,4258.333333333333,1129,12775,3
Chequered Ink Ltd.,1180.2727272727273,224,12983,11
Azurezero,2074.25,1292.5,24891,12
kovalevviktor,1036.483870967742,923,32131,31
Frosty Pop,79986.2,5968,399931,5
Red Kraken studio,3112.6,474,15563,5
lightUP,658.65,527,13173,20
D-Games,13486,13486,26972,2
Zloy Krot Studio,2085.923076923077,2030,27117,13
Xitilon,5183.846153846154,921,67390,13
Valkeala Software,518.5384615384615,221,13482,26
"UG Virtual Reality Technology Co.,Ltd.",3000.75,538,12003,4
Comuesp,5448.5,5448.5,10897,2
SeedWall,2945.423076923077,847.5,76581,26
I commissioned some series,1282.2131147540983,1045,78215,61
Flying Islands Team,4407.857142857143,837,30855,7
Panda Indie Studio,5777.833333333333,2168,34667,6
Kedexa,446.75757575757575,94,14743,33
Qumaron,5788.2972972972975,4157,214167,37
Krispy Animation,12128.25,6292,48513,4
KuKo,3282.529411764706,1413,167409,51
11Sheep,19455.333333333332,247,58366,3
Cult Software,2878.4285714285716,2554,20149,7
Family Devs,8245,452,41225,5
Cliax Games,15957.333333333334,614,47872,3
Ninja Whale Studios,13733.4,4061,68667,5
Flat Cat Games,17135.7740598648,3742,154221.96653878322,9
LunaBeat,7027.2,5112,35136,5
Studio Gamaii,15126.666666666666,7949,45380,3
GC Games,5909.166666666667,3204,35455,6
Meng Games,3647.9565217391305,1308,83903,23
Orbi Universo Team,23338,1258,93352,4
Walter Machado,9922.181818181818,4163.5,218288,22
BananaDogGames,20030,4097,60090,3
Ready To Play,2653.285714285714,807,37146,14
Went2Play LLC,7580.333333333333,242,22741,3
Marginal act,1751.2727272727273,1243,19264,11
-,7446.111111111111,242,67015,9
Game Studio Abraham Stolk Inc.,3371.5,1822,20229,6
Mini Fun Games,9611.42857142857,242,67280,7
Revmatek,4890.153846153846,915,63572,13
Rising Moon Games,2480.8571428571427,1315,34732,14
RetroBug,2151.8,703,10759,5
Reb_Orn,6667.25,1443,26669,4
CloudNovel LLC,1707.090909090909,0,18778,11
StrelitziaGames,4447.5,663.5,35580,8
KomBits Game Studio,2308.3333333333335,1455,13850,6
Graverobber Foundation,6827.777777777777,1173,61450,9
Encore Software LLC.,22589.5,22589.5,45179,2
8Floor,76806.31765867489,3949,3686703.2476163944,48
Softwaves Dist.,2465.4285714285716,237,17258,7
Red Fox Studios,9661.911911782146,2238.5595589107343,48309.55955891073,5
Nibb Games,1495.3333333333333,944.5,17944,12
Zabbo Games,27622.5,27622.5,55245,2
GTGD,17041,1008,85205,5
Funny Twins,3115.3333333333335,1192,28038,9
phime studio LLC,1963.375,1561,15707,8
Aldorlea Games,5092.345454545454,2280,280079,55
Starmyth,2207.3333333333335,1167,13244,6
Builderment LLC,55572.5,55572.5,111145,2
Shinyuden,2143.5555555555557,643,19292,9
Eternity Studios,4511.666666666667,6463,13535,3
Devon Wiersma,4932.25,2636.5,19729,4
FlagmanJeremy,1218.3846153846155,934,15839,13
Jakai,32331,1204.5,129324,4
World Map Tycoon,6300.666666666667,359,18902,3
Hede,12100.561290322581,10780,1875587,155
Vitok,810,898,13770,17
Giant Margarita,8170,2090,24510,3
Simon Eftestol,14765.285714285714,972,103357,7
Berzah Games,49541.666666666664,4911,148625,3
Nutaku Publishing,222723.48,225,5568087,25
HaDe Games,892.3870967741935,495,27664,31
"WELOVEBOT CO., LTD.",1303.111111111111,1869,11728,9
wow wow Games,755.1428571428571,8,15858,21
2Awesome Studio,8095.833333333333,1252,97150,12
Airem,6538.533333333334,1218,98078,15
MIRROR Soft,586.76,103,14669,25
EncoderX,3614,2423,18070,5
PRODUCTION PENCIL,4031.1428571428573,634.5,112872,28
BIFROST CLOUD PTE. LTD.,5274.419891951723,222,47469.779027565506,9
[untitledDev],23304.5,23304.5,46609,2
Starwind Games,3734.4,3300,18672,5
SP Digital Arts Inc.,24242.6,1282,121213,5
TEAM Black Hat Robot,3478.5,2473,13914,4
Ocean Media LLC,8765.8,4657,43829,5
TheGamesFortress,10817.6875,716,173083,16
Old School Vibes,1384.5,834,13845,10
Markt+Technik Verlag GmbH,1828.2105263157894,698,34736,19
Catness Game Studios,3509.4,4034,17547,5
Waz Games,66958.5,66958.5,133917,2
Grey Alien Games,15157.538461538461,8234,591144,39
Games For Pleasure,1689.9,1134,16899,10
Winter Wolves,34689.67567567567,19588,1283518,37
Afterthought Studios,1965.125,436.5,15721,8
Aqualuft Games,5731.5,5731.5,11463,2
AnimicGame,8752.333333333334,797,26257,3
KreizLand Games,21997,987,65991,3
Voltage Inc.,3667.1428571428573,2101.5,51340,14
SQ7,8067.5,8067.5,16135,2
Astrea,7987.923076923077,177,103843,13
PolarityFlow,7783.833333333333,2036,46703,6
PigeonDev,2536.5,1526,15219,6
Brainchild,9887.5,3095,39550,4
Onteca Ltd,4813.5,1114,19254,4
PGN Games,1886.3333333333333,578,16977,9
Proximity Games,18740.85714285714,4074,131186,7
Green Sauce Games,5244.625,2611.5,83914,16
727 Not Hound,5791.454545454545,4975,63706,11
BT Studios,1778.142857142857,1188,12447,7
SEEP,1817.7894736842106,1130,34538,19
Mens Sana Interactive,3376.7072610564537,2006,81040.97426535489,24
Minimol Games,2689.8709677419356,1755,83386,31
Ant Workshop Ltd,13866.333333333334,20020,41599,3
Black Curtain Studio,11437.4,409,57187,5
Clickteam,11836.90909090909,4464,130206,11
Simple Touch,11342.333333333334,3374,34027,3
STUDIO POCO,19511.5,19511.5,39023,2
A Crowd of Monsters,53564.5,53564.5,107129,2
Hentai Room,1169.3333333333333,1064.5,14032,12
GrimTalin,11381.25,1800,45525,4
Alcedo Games,48498,903,533478,11
Majesco Entertainment,129642.44444444444,11274,1166782,9
War Child Gaming,1792.8333333333333,1874.5,21514,12
4 I Lab,6966,6704.5,27864,4
Cateia Games,4451.083333333333,2684,106826,24
Bryce Summer,5438,873,21752,4
Özgün Bursalıoğlu,4839,454,14517,3
New State,8517.666666666666,3888,25553,3
Pickle Drugs,1206,879,10854,9
No Gravity Games,13101.6875,4628,209627,16
Paradox White Cat,4179.333333333333,4789,12538,3
RedDeer.Games,4658,1336,37264,8
TSB,62730.71428571428,4262,439115,7
GameChanger Studio,3990.3333333333335,447,11971,3
Uzura Studio,1875.6,1385.5,18756,10
DXF Games,3695.3333333333335,2333.5,22172,6
Stroboskop,21057.333333333332,24250,63172,3
BekkerDev Studio,4880.066666666667,2001,73201,15
Project Whitecard Studios Inc.,23285,2804,69855,3
Sophie Houlden,3353.75,2909.5,13415,4
ondydev,11382.6,2347,56913,5
Team Ryzal,12683,5587,38049,3
Libredia,6617.2,3327,165430,25
IR Studio,4008.716049382716,1082,324706,81
Andromeda Entertainment,34078.333333333336,190,102235,3
Team Syukino,1859.75,84.5,29756,16
Yaeko,4746.066666666667,2659,71191,15
Prince Game Studio,3817.4,1331,19087,5
KEYREAL,4527.2,2233,22636,5
TheGamePublisher.com,13424.888888888889,1283,120824,9
Elder Leaf Studio,4799.333333333333,184,14398,3
电钮组,5699.8,662.5,56998,10
Dotoyou Games,7509.6,2392,37548,5
RobProductions,2815.2,743,14076,5
Notus Games Ltd,1107.6638247855865,993,13291.965897427039,12
FreezeNova,6592.65,3251.5,131853,20
QUByte Interactive,19576.095238095237,2474,411098,21
i273 LLC,12254,3968,36762,3
Just Making Games,21461,179,64383,3
Roberto Trasarti,7295.666666666667,754,21887,3
Molegato,5060,5060,10120,2
"Idle System, Inc.",127978.91355960284,20718.429511885803,895852.3949172199,7
Charyb Games,7603.666666666667,8824,22811,3
Take Toad,2355.6,1443,11778,5
Isaac Lee,6528.333333333333,3588,19585,3
Nekoromorph,4167.333333333333,483,12502,3
SoloQ,19144.333333333332,2573,57433,3
CGA Studio,6765,6765,13530,2
Catchy,7961,7961,15922,2
AO Games,26620.797533098248,872.9876654912471,133103.98766549124,5
无,33694.2,172,168471,5
Worthing & Moncrieff,3615,3573,10845,3
The Revills Games,4389.3,723,43893,10
Dreamatrix,24877.666666666668,8868,149266,6
bhungry,5124.454545454545,620,56369,11
PastureSoft,1676.6,1625.5,16766,10
Cranio Creations,13627.5,13627.5,27255,2
Yamate,1707,599,18777,11
Gamera Interactive,33793.23809523809,2882,709658,21
Tayfun Tuna,2393.4,2765,11967,5
WildSphere,9816,1820,49080,5
Jibeijia,3819.5,2016.5,15278,4
Waku Waku Games,23385.722222222223,1347.5,420943,18
WIG Publishing,3642.1111111111113,2676,32779,9
SimBin,50064.5,32856,400516,8
Les Crafteurs,18939.5,18939.5,37879,2
AplusGames,23641,6329,70923,3
Fantasia Studio,8882,2705,44410,5
Team Monumental,4799.25,2302.5,19197,4
Rokas,4312.75,728.5,17251,4
Bad Bird Studios,5716,5716,11432,2
Johnny Ostad,3631.3333333333335,443,10894,3
Kezarus,6852,6852,13704,2
Time Galleon,10929.333333333334,11069,32788,3
Chilled Mouse,8584.666666666666,635.5,51508,6
Buttergirl Studio,58678,58678,117356,2
OZNA STUDIO,1270.25,974,10162,8
Phodex Games,53050.666666666664,3971,159152,3
Pablo Leban,825995.5412423862,825995.5412423862,1651991.0824847724,2
SURPRISED HOTDOG LIMITED,4285.25,1480,17141,4
TLR Games,5494.666666666667,1393,16484,3
FurGoldGames,2448.6,2673,12243,5
Green Lava Studios,18780.714285714286,7842,131465,7
erm...,12879,6375,38637,3
Moonbit,11465,2795,80255,7
Tonguç Bodur,16234.041666666666,9281,389617,24
Beatshapers,12438.333333333334,13409,37315,3
KazakovStudios,1530.1,843,15301,10
DominiGames,973.8125,781.5,15581,16
Black Lime Studio,11839,8698,94712,8
LeonWaan Games,3422.3333333333335,135,30801,9
Fly Penguin inc.,35163,35163,70326,2
IV Productions,4567.318181818182,1338.5,100481,22
Vaka Game Magazine,115552.64705882352,35620,1964395,17
MAGame,4327.428571428572,1688,30292,7
Error 300,1933.3333333333333,861,23200,12
Specialbit Studio,34344.857142857145,40300,240414,7
LoneDev,5954,5954,11908,2
Exbyte Studios,387393.5,387393.5,774787,2
CBC Games,2948.75,1849,11795,4
Toplitz,45051.5,45051.5,90103,2
VRKiwi,9590.416666666666,2609,115085,12
Petite Fleur Productions,2589.2,2259,12946,5
Daotuan Wang,5028,148,15084,3
Gamuzumi,1481.4,529.5,14814,10
HeadArrow,15439,3877,92634,6
Kool2Play,19548.25,6241,78193,4
Witching Hour Entertainment LLC,4507.625,1515.5,36061,8
Pinhead Games,1924.7142857142858,143,13473,7
个人,1800,7,16200,9
Edym Pixels,52904.5,41397.5,211618,4
Flying Interactive,29068.235294117647,2650,494160,17
元气工作室,2214293.3423827025,412,6642880.027148107,3
